0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:00:16 +0900] "GET /app/member/ToS.jsp HTTP/1.1" 200 39143
127.0.0.1 - - [21/Nov/2020:00:27:44 +0900] "GET / HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:44 +0900] "GET /app/index.jsp HTTP/1.1" 200 23629
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:45 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:45 +0900] "GET /app/member/login.jsp HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:45 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:45 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:27:45 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:28:11 +0900] "POST /MemberLoginOk.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:28:11 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:28:11 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:28:11 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:28:11 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:28:11 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:46 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:46 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:46 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:46 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:46 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:47 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:47 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:47 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:29:47 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:32 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:33 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:33 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:34 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:34 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:35 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:35 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:35 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:35 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:36 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:43 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:49 +0900] "GET /MemberLogOut.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:56 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:56 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:56 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:57 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:59 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:59 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:59 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:59 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:59 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:30:59 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:00 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:00 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:00 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:20 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:23 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:23 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:23 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:31:29 +0900] "GET /Index.me HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:07 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:07 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:07 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:07 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:07 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:08 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:31 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:32 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:32 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:32 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:33 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:33 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:33 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:33 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:33 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:32:34 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 -
127.0.0.1 - - [21/Nov/2020:00:33:04 +0900] "GET / HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:05 +0900] "GET /view.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:07 +0900] "GET /Index.me HTTP/1.1" 200 23503
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:08 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:08 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:08 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:08 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:11 +0900] "GET /app/member/login.jsp HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:35 +0900] "POST /MemberLoginOk.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:35 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:35 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:35 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:35 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:35 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:33:36 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:55 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:56 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:56 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:56 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:56 +0900] "GET /Index.me HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:57 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 14561
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:57 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:57 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:57 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:57 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:57 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:34:58 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 14561
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:35:02 +0900] "GET /app/member/updatePw.jsp HTTP/1.1" 200 9189
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:35:44 +0900] "POST /MemberChangePwOk.me?member_id=zxc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:35:44 +0900] "GET /MemberMyBoardOk.me?change=true&board_state=0 HTTP/1.1" 200 14631
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:35:50 +0900] "GET /index.jsp HTTP/1.1" 404 801
127.0.0.1 - - [21/Nov/2020:00:36:33 +0900] "GET / HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:35 +0900] "GET /view.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:36 +0900] "GET /Index.me HTTP/1.1" 200 23503
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:37 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:37 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:37 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:37 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:38 +0900] "GET /app/member/login.jsp HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:45 +0900] "POST /MemberLoginOk.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:45 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:46 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:46 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:46 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:46 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:48 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 14568
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:36:51 +0900] "GET /MemberLogOut.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:07 +0900] "GET /MemberLogOut.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:07 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:07 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:07 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:07 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:07 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:10 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:11 +0900] "GET /Index.me HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:12 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:12 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:12 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:37:12 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:03 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 -
127.0.0.1 - - [21/Nov/2020:00:44:27 +0900] "GET / HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:29 +0900] "GET /view.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:32 +0900] "GET /Index.me HTTP/1.1" 200 23497
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:32 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:32 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:32 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:32 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:33 +0900] "GET /MemberLogin.me HTTP/1.1" 200 10608
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:40 +0900] "POST /MemberLoginOk.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:40 +0900] "GET /Index.me HTTP/1.1" 200 23619
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:40 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:40 +0900] "GET /returnPopupList.pop HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:40 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:40 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:41 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 14568
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:52 +0900] "GET /boardViewOk.bo?board_idx=83&board_state=1 HTTP/1.1" 200 18840
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:52 +0900] "GET /resource/js/board_view.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:55 +0900] "GET /boardViewOk.bo?board_idx=83&board_state=1 HTTP/1.1" 200 18840
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:55 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:55 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:44:59 +0900] "GET /returnNewsList.me HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:45:05 +0900] "GET /boardViewOk.bo?board_idx=83&board_state=1 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:45:12 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:45:12 +0900] "GET /noticeBoardListOk.bo HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:45:17 +0900] "GET /MemberMyBoardOk.me?board_state=0 HTTP/1.1" 200 14568
0:0:0:0:0:0:0:1 - - [21/Nov/2020:00:45:19 +0900] "GET /hotBoardListOk.bo HTTP/1.1" 200 2
